robustness,arm,snr,criterion_id,omitted_unit,N_transition_eligible,N_transition_classifiable,R_equal_transition,U_equal_transition
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Green2022,25,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,LaMassa2015,26,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,MacLeod2016,26,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Potts2021,25,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Ruan2016,26,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Runnoe2016,26,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Yang2025_turn_on,24,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,21,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Dong2025_SDSS_LAMOST,17,15,0.42540755163854166,0.7176470588235294
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Green2022,25,21,0.3500888762000854,0.6751999999999999
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,LaMassa2015,26,23,0.35587824928413586,0.66
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,MacLeod2016,26,22,0.3326605939485663,0.6715384615384615
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Potts2021,25,21,0.38837085565853535,0.6896000000000001
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Ruan2016,26,23,0.35587824928413586,0.66
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Runnoe2016,26,22,0.32659998788796024,0.6646153846153846
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Yang2025_turn_on,24,20,0.3419980819148516,0.6533333333333333
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,10,YANG2024_FINAL,Zeltyn2024_SDSSV,21,17,0.3458080187588812,0.6771428571428573
