transition_id,object_id,reference_tier,source_family,arm,snr,N_both_classifiable,N_agree,N_disagree,disagreement_i,N_YANG_CL_GREEN_NONCL,N_YANG_NONCL_GREEN_CL
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,faint_only,5,22,4,18,0.8181818181818182,18,0
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,faint_only,10,20,4,16,0.8,16,0
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,matched,5,19,5,14,0.7368421052631579,14,0
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,matched,10,18,3,15,0.8333333333333334,15,0
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,faint_only,5,36,35,1,0.027777777777777776,1,0
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,faint_only,10,41,41,0,0.0,0,0
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,matched,5,23,21,2,0.08695652173913043,2,0
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,matched,10,38,38,0,0.0,0,0
SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,GOLD,Potts2021,matched,5,43,42,1,0.023255813953488372,1,0
SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,GOLD,Potts2021,matched,10,34,26,8,0.23529411764705882,0,8
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,faint_only,5,10,9,1,0.1,0,1
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,faint_only,10,6,6,0,0.0,0,0
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,matched,5,9,8,1,0.1111111111111111,0,1
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,matched,10,6,6,0,0.0,0,0
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,faint_only,5,18,17,1,0.05555555555555555,0,1
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,faint_only,10,20,19,1,0.05,0,1
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,matched,5,15,3,12,0.8,11,1
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,matched,10,15,14,1,0.06666666666666667,0,1
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,faint_only,5,42,4,38,0.9047619047619048,0,38
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,faint_only,10,42,0,42,1.0,0,42
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,matched,5,27,23,4,0.14814814814814814,3,1
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,matched,10,35,0,35,1.0,0,35
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,faint_only,5,20,5,15,0.75,0,15
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,faint_only,10,19,0,19,1.0,0,19
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,matched,5,18,16,2,0.1111111111111111,1,1
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,matched,10,18,0,18,1.0,0,18
SDSSJ135855.83+493414.2,SDSSJ135855.83+493414.2,GOLD,Potts2021,matched,5,6,3,3,0.5,3,0
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,faint_only,5,27,21,6,0.2222222222222222,0,6
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,faint_only,10,21,2,19,0.9047619047619048,0,19
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,matched,5,16,14,2,0.125,0,2
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,matched,10,13,12,1,0.07692307692307693,0,1
SDSSJ233602.98+001728.7,SDSSJ233602.98+001728.7,GOLD,Ruan2016,faint_only,5,10,2,8,0.8,8,0
SDSSJ233602.98+001728.7,SDSSJ233602.98+001728.7,GOLD,Ruan2016,matched,5,7,4,3,0.42857142857142855,3,0
