transition_id,object_id,reference_tier,source_family,criterion_id,arm,comparison,p_5,p_10,delta_p_second_minus_first,u_5,u_10,delta_u_second_minus_first,N_classifiable_5,N_classifiable_10
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.5,0.8333333333333334,0.33333333333333337,0.96,0.76,-0.19999999999999996,2,12
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.04,0.04,0.0,0.0,0.0,50,50
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.6666666666666666,0.23076923076923078,-0.43589743589743585,0.52,0.22,-0.30000000000000004,24,39
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.02,0.02,0.0,0.0,0.0,50,50
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.06,0.06,0.0,0.0,0.0,50,50
