transition_id,reference_tier,q1_set,source_family,instrument_pair,arm,snr_rung,bright_epoch_action,faint_epoch_action,object_specific_crn,mc_realizations,seed_namespace,grid_status,execution_authorized,spectra_generated
J133551.98+544450.1,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J133551.98+544450.1,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J133551.98+544450.1,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J134133.73+090356.7,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J134133.73+090356.7,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J134133.73+090356.7,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J134133.73+090356.7,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J135255.68+252859.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J135255.68+252859.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J135255.68+252859.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J135255.68+252859.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J135750.26+614309.0,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J135750.26+614309.0,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J140207.59+284859.3,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J140207.59+284859.3,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J140515.59+542458.0,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J140515.59+542458.0,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J140515.59+542458.0,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J140515.59+542458.0,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J150026.17+374732.4,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J150026.17+374732.4,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J152904.77+024640.4,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J152904.77+024640.4,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J160157.53+490207.8,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
