scope,arm,snr_rung,n_total,n_supported,support_fraction,d093_disposition
SOURCE_FAMILY:Ruan2016,faint_only,30,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,faint_only,40,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,matched,5,2,2,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Ruan2016,matched,10,2,1,0.5,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Ruan2016,matched,15,2,1,0.5,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,matched,20,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,matched,30,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Ruan2016,matched,40,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,faint_only,5,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Runnoe2016,faint_only,10,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Runnoe2016,faint_only,15,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,faint_only,20,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,faint_only,30,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,faint_only,40,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,matched,5,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Runnoe2016,matched,10,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Runnoe2016,matched,15,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,matched,20,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,matched,30,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Runnoe2016,matched,40,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,faint_only,5,5,5,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Yang2025_turn_on,faint_only,10,5,4,0.8,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Yang2025_turn_on,faint_only,15,5,3,0.6,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,faint_only,20,5,1,0.2,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,faint_only,30,5,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,faint_only,40,5,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,matched,5,5,4,0.8,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Yang2025_turn_on,matched,10,5,3,0.6,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Yang2025_turn_on,matched,15,5,1,0.2,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,matched,20,5,1,0.2,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,matched,30,5,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Yang2025_turn_on,matched,40,5,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Zeltyn2024_SDSSV,faint_only,5,9,8,0.8888888888888888,FINAL_RETAINED_PRIOR_COMPARABLE
