snr,transition_id,object_id,source_family,p_i_faint_only,p_i_matched,delta_p_faint_only_minus_matched,u_i_faint_only,u_i_matched,delta_u_faint_only_minus_matched
5,SDSSJ233602.98+001728.7,SDSSJ233602.98+001728.7,Ruan2016,0.1,0.12,"arm
   -0.02
Name: (SDSSJ233602.98+001728.7, SDSSJ233602.98+001728.7, Ruan2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ233602.98+001728.7, SDSSJ233602.98+001728.7, Ruan2016), dtype: float64"
10,J075934.95+322143.3,J075934.95+322143.3,Zeltyn2024_SDSSV,1.0,0.28,"arm
    0.72
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64"
10,J080133.29+341737.6,J080133.29+341737.6,Zeltyn2024_SDSSV,0.98,0.2,"arm
    0.78
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64"
10,J080711.72+194439.7,J080711.72+194439.7,Zeltyn2024_SDSSV,0.48,0.04,"arm
    0.44
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64"
10,J083716.47+035606.1,J083716.47+035606.1,Zeltyn2024_SDSSV,1.0,0.98,"arm
    0.02
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64"
10,J085512.13+032950.6,J085512.13+032950.6,Zeltyn2024_SDSSV,1.0,0.7,"arm
    0.3
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64"
10,J1003+0202,J1003+0202,Yang2025_turn_on,0.02,0.0,"arm
    0.02
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64"
10,J1009+3539,J1009+3539,Yang2025_turn_on,0.0,0.0,"arm
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64"
10,J104427.75+271806.3,J104427.75+271806.3,Dong2025_SDSS_LAMOST,0.76,0.54,"arm
    0.22
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64"
10,J105233.83+454949.3,J105233.83+454949.3,Dong2025_SDSS_LAMOST,0.0,0.02,"arm
   -0.02
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64"
10,J1110+0804,J1110+0804,Yang2025_turn_on,0.06,0.08,"arm
   -0.02
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64"
10,J112229.65+214815.6,J112229.65+214815.6,Dong2025_SDSS_LAMOST,0.66,0.18,"arm
    0.48
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64"
10,J120635.22+175312.3,J120635.22+175312.3,Dong2025_SDSS_LAMOST,0.68,0.36,"arm
    0.32
Name: (J120635.22+175312.3, J120635.22+175312.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J120635.22+175312.3, J120635.22+175312.3, Dong2025_SDSS_LAMOST), dtype: float64"
10,J122355.23+343856.6,J122355.23+343856.6,Dong2025_SDSS_LAMOST,0.04,0.0,"arm
    0.04
Name: (J122355.23+343856.6, J122355.23+343856.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J122355.23+343856.6, J122355.23+343856.6, Dong2025_SDSS_LAMOST), dtype: float64"
10,J131432.70+122718.5,J131432.70+122718.5,Dong2025_SDSS_LAMOST,0.02,0.06,"arm
   -0.04
Name: (J131432.70+122718.5, J131432.70+122718.5, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J131432.70+122718.5, J131432.70+122718.5, Dong2025_SDSS_LAMOST), dtype: float64"
10,J133551.98+544450.1,J133551.98+544450.1,Dong2025_SDSS_LAMOST,0.98,0.44,"arm
    0.54
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64"
10,J135255.68+252859.6,J135255.68+252859.6,Dong2025_SDSS_LAMOST,0.96,0.84,"arm
    0.12
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64"
10,J140515.59+542458.0,J140515.59+542458.0,Zeltyn2024_SDSSV,0.88,0.02,"arm
    0.86
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64"
10,SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,Potts2021,0.0,0.0,"arm
    0.0
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64"
10,SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,Ruan2016,0.82,0.44,"arm
    0.38
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64"
10,SDSSJ015957.64+003310.4,SDSSJ015957.64+003310.4,LaMassa2015,1.0,1.0,"arm
    0.0
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64"
10,SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,Green2022,0.14,0.0,"arm
    0.14
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64"
10,SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,Potts2021,1.0,0.3,"arm
    0.7
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64"
10,SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,Runnoe2016,1.0,1.0,"arm
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64"
10,SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,MacLeod2016,1.0,0.88,"arm
    0.12
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64"
10,SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,Green2022,1.0,1.0,"arm
    0.0
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64",0.0,0.0,"arm
    0.0
Name: (SDSSJ105325.40+302419.34, SDSSJ105325.40+302419.34, Green2022), dtype: float64"
