series,wavelength_rest,flux
observed_bright,4857.1256966482779,22.801563262939453
observed_bright,4858.2457391062808,23.539871215820312
observed_bright,4859.3633721541019,24.259820938110352
observed_bright,4860.4812623119369,23.760671615600586
observed_bright,4861.6020785559704,23.449913024902344
observed_bright,4862.7204837252712,23.477838516235352
observed_bright,4863.841816328817,23.315980911254883
observed_bright,4864.9607367468489,23.300924301147461
observed_bright,4866.0825859477936,22.805015563964844
observed_bright,4867.2020218519319,24.179794311523438
observed_bright,4868.3243878882713,23.264923095703125
observed_bright,4869.4443395160006,21.159841537475586
observed_bright,4870.5645487871298,21.163787841796875
observed_bright,4871.6876902147533,21.68865966796875
observed_bright,4872.8084155657625,21.458585739135742
observed_bright,4873.9320744241095,20.303010940551758
observed_bright,4875.0533160927571,20.119194030761719
observed_bright,4876.1774926202079,20.361885070800781
observed_bright,4877.2992508443594,19.971691131591797
observed_bright,4878.4212671275172,20.18952751159668
observed_bright,4879.5462202970384,20.451940536499023
observed_bright,4880.6687534925659,19.751802444458008
observed_bright,4881.7942249274784,19.658445358276367
observed_bright,4882.9172752735158,19.848516464233398
observed_bright,4884.0432652125855,19.607564926147461
observed_bright,4885.166832947386,20.066005706787109
observed_bright,4886.2906591574665,19.584760665893555
observed_bright,4887.4174269914092,19.054370880126953
observed_bright,4888.5417709476924,19.406894683837891
observed_bright,4889.6690578830421,19.758916854858398
observed_bright,4890.7939198240529,18.943603515625
observed_bright,4891.9217260999585,18.01507568359375
observed_bright,4893.0471062643328,19.547931671142578
observed_bright,4894.1727453209342,19.426313400268555
observed_bright,4895.3013307465371,19.293815612792969
observed_bright,4896.4274883845192,19.682168960571289
observed_bright,4897.5565937488918,19.569154739379883
observed_bright,4898.6832702071633,19.235626220703125
observed_bright,4899.8128957498429,19.215950012207031
observed_bright,4900.9400912674246,18.389495849609375
observed_bright,4902.0675460948542,18.517887115478516
observed_bright,4903.1979520440782,18.831808090209961
observed_bright,4904.3259262894117,18.236337661743164
observed_bright,4905.4568530161223,18.637968063354492
observed_bright,4906.585346918655,18.557703018188477
observed_bright,4907.7167946627715,18.243558883666992
observed_bright,4908.8458084619115,17.993337631225586
observed_bright,4909.9750819891924,18.173639297485352
observed_bright,4911.1073113987295,18.410497665405273
observed_bright,4912.2371051817881,17.648609161376953
observed_bright,4913.3698562088775,17.947393417358398
observed_bright,4914.5001704873966,18.204034805297852
observed_bright,4915.6334433723468,17.687894821166992
observed_bright,4916.7642783861183,17.23204231262207
observed_bright,4917.8953735469986,17.592273712158203
observed_bright,4919.0294293582765,17.708328247070312
observed_bright,4920.1610456141607,17.018138885498047
observed_bright,4921.2956238844126,17.145420074462891
observed_bright,4922.4277614753701,17.497898101806641
observed_bright,4923.5628624452929,17.547222137451172
observed_bright,4924.695521611503,17.387659072875977
observed_bright,4925.8284413444635,17.130409240722656
observed_bright,4926.9643265036539,16.873703002929688
observed_bright,4928.0977681721997,16.854206085205078
observed_bright,4929.2341766331438,16.794319152832031
observed_bright,4930.368140477728,16.999828338623047
observed_bright,4931.5050724815119,17.436920166015625
observed_bright,4932.6395587427023,17.084470748901367
observed_bright,4933.7743059909672,17.38800048828125
observed_bright,4934.9120234489947,17.061365127563477
observed_bright,4936.0472934747777,17.011957168579102
observed_bright,4937.1855350786991,17.548606872558594
observed_bright,4938.3213281228454,17.742633819580078
observed_bright,4939.4600941141343,16.821733474731445
observed_bright,4940.5964104175964,16.149848937988281
observed_bright,4941.7329881291325,17.300327301025391
observed_bright,4942.8725408416831,17.17840576171875
observed_bright,4944.0096421740318,16.355688095092773
observed_bright,4945.1497198779771,17.154930114746094
observed_bright,4946.28734507237,17.940221786499023
observed_bright,4947.4279480095729,17.264396667480469
observed_bright,4948.5660973073536,17.468009948730469
observed_bright,4949.7045084348847,17.017313003540039
observed_bright,4950.8458993624117,16.788291931152344
observed_bright,4951.9848349554104,17.824075698852539
observed_bright,4953.1267517211963,17.402793884277344
observed_bright,4954.2662120212817,18.195205688476562
observed_bright,4955.4086548675814,18.402214050292969
observed_bright,4956.5486401164862,18.63446044921875
observed_bright,4957.6916092856636,19.0159912109375
observed_bright,4958.8321197252326,19.17259407043457
observed_bright,4959.9728925377303,19.552244186401367
observed_bright,4961.1166513319522,19.260150909423828
observed_bright,4962.2579496979433,18.812427520751953
observed_bright,4963.4022354212993,18.580486297607422
observed_bright,4964.5440595829068,18.157466888427734
observed_bright,4965.6888724781538,17.328701019287109
observed_bright,4966.8312226776106,17.060840606689453
observed_bright,4967.9738356732305,17.494308471679688
observed_bright,4969.1194394672684,17.320728302001953
observed_bright,4970.2625788641526,17.241546630859375
observed_bright,4971.4087104373157,17.2900390625
observed_bright,4972.5523764779782,16.927766799926758
observed_bright,4973.6990360734135,16.554418563842773
observed_bright,4974.8432290004803,16.473339080810547
observed_bright,4975.9876851476247,16.510845184326172
observed_bright,4977.1351369176518,16.079572677612305
observed_bright,4978.2801203152012,15.571331977844238
observed_bright,4979.4281007157151,15.848387718200684
observed_bright,4980.5736116065727,16.653146743774414
observed_bright,4981.7221208811125,16.284408569335938
observed_bright,4982.8681595082953,15.403623580932617
observed_bright,4984.014461780157,15.852141380310059
observed_bright,4985.1637645071469,16.837310791015625
observed_bright,4986.310594879923,16.729047775268555
observed_bright,4987.4604270901345,16.620677947998047
observed_bright,4988.6077858071194,17.069520950317383
observed_bright,4989.7581477444855,16.689716339111328
observed_bright,4990.9060350490863,16.611059188842773
observed_bright,4992.0541864236538,17.179536819458008
observed_bright,4993.2053430933902,17.497226715087891
observed_bright,4994.3540234207521,17.228227615356445
observed_bright,4995.5057104278203,17.569807052612305
observed_bright,4996.6549199516639,17.796594619750977
observed_bright,4997.8071375403897,17.910890579223633
observed_bright,4998.9568765045169,17.979846954345703
observed_bright,5000.1068799645818,18.113975524902344
observed_bright,5001.2598935676624,18.628555297851562
observed_bright,5002.410426833776,18.831239700317383
observed_bright,5003.5639716296773,21.912763595581055
observed_bright,5004.7150349459207,22.53028678894043
observed_bright,5005.8691111793632,22.56060791015625
observed_bright,5007.0207047899312,25.530385971069336
observed_bright,5008.1725633230944,24.553215026855469
observed_bright,5009.3274368549446,23.637819290161133
observed_bright,5010.4798260487887,21.555381774902344
observed_bright,5011.6352316303273,20.641374588012695
observed_bright,5012.7881517293263,20.201065063476562
observed_bright,5013.9440896056685,18.226116180419922
observed_bright,5015.0975408544118,16.993026733398438
observed_bright,5016.2512574530983,16.810001373291016
observed_bright,5017.407993913971,15.731474876403809
observed_bright,5018.5622420293485,15.874582290649414
observed_bright,5019.7195113981606,16.527778625488281
observed_bright,5020.8742912750968,15.801967620849609
observed_bright,5022.0320937973584,15.795139312744141
observed_bright,5023.1874056808365,15.640668869018555
observed_bright,5024.3429833422952,15.428813934326172
observed_bright,5025.5015857372864,15.953876495361328
observed_bright,5026.6576957728266,16.405059814453125
observed_bright,5027.8168319353917,16.217033386230469
observed_bright,5028.973474590277,17.195514678955078
observed_bright,5030.1331447663224,16.520366668701172
observed_bright,5031.2903202859306,15.662042617797852
observed_bright,5032.4477620122452,16.337881088256836
observed_bright,5033.6082333512977,17.119327545166016
observed_bright,5034.7662083104678,16.148069381713867
observed_bright,5035.9272142781156,15.442450523376465
observed_bright,5037.0857227158003,15.597896575927734
observed_bright,5038.2472635583472,16.133405685424805
observed_bright,5039.4063057203193,15.984687805175781
observed_bright,5040.5656145184184,15.711862564086914
observed_bright,5041.7279578163289,16.032815933227539
